settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
6504942301	20.11.2017 10:32:24 UTC	04.12.2017 10:32:25 UTC	06.12.2017 10:32:25 UTC	445.79	CAD																		
6504942301						Order	702-6479991-9130627	702-6479991-9130627		DVJZQGK0N	Amazon.ca	ItemPrice	Principal	38.99	AFN	20.11.2017	20.11.2017 10:54:09 UTC	27661650722162			02-23CA-011-010617FBA04	1	
6504942301						Order	702-6479991-9130627	702-6479991-9130627		DVJZQGK0N	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.81	AFN	20.11.2017	20.11.2017 10:54:09 UTC	27661650722162			02-23CA-011-010617FBA04	1	
6504942301						Order	702-6479991-9130627	702-6479991-9130627		DVJZQGK0N	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.52	AFN	20.11.2017	20.11.2017 10:54:09 UTC	27661650722162			02-23CA-011-010617FBA04	1	
6504942301						Order	702-6479991-9130627	702-6479991-9130627		DVJZQGK0N	Amazon.ca	ItemFees	Commission	-5.85	AFN	20.11.2017	20.11.2017 10:54:09 UTC	27661650722162			02-23CA-011-010617FBA04	1	
6504942301						Order	701-2781905-5731454	701-2781905-5731454		DNX0zBKFN	Amazon.ca	ItemPrice	Principal	38.99	AFN	21.11.2017	21.11.2017 22:57:58 UTC	42500638192834			02-23CA-011-010617FBA04	1	
6504942301						Order	701-2781905-5731454	701-2781905-5731454		DNX0zBKFN	Amazon.ca	ItemPrice	Shipping	3.43	AFN	21.11.2017	21.11.2017 22:57:58 UTC	42500638192834			02-23CA-011-010617FBA04	1	
6504942301						Order	701-2781905-5731454	701-2781905-5731454		DNX0zBKFN	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.81	AFN	21.11.2017	21.11.2017 22:57:58 UTC	42500638192834			02-23CA-011-010617FBA04	1	
6504942301						Order	701-2781905-5731454	701-2781905-5731454		DNX0zBKFN	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.52	AFN	21.11.2017	21.11.2017 22:57:58 UTC	42500638192834			02-23CA-011-010617FBA04	1	
6504942301						Order	701-2781905-5731454	701-2781905-5731454		DNX0zBKFN	Amazon.ca	ItemFees	Commission	-5.85	AFN	21.11.2017	21.11.2017 22:57:58 UTC	42500638192834			02-23CA-011-010617FBA04	1	
