settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
6566003831	29.01.2018 10:32:14 UTC	12.02.2018 10:31:15 UTC	14.02.2018 10:31:15 UTC	221.30	CAD																		
6566003831						Order	701-8718343-0183400			DBgfwWz64	Amazon.ca	ItemPrice	Principal	39.99	MFN	30.01.2018	30.01.2018 07:14:27 UTC	60568739372106			02-23CA-011-010617FBM001C	1	
6566003831						Order	701-8718343-0183400			DBgfwWz64	Amazon.ca	ItemFees	Commission	-6.00	MFN	30.01.2018	30.01.2018 07:14:27 UTC	60568739372106			02-23CA-011-010617FBM001C	1	
6566003831						Order	702-0055965-5909846			D4bJSLR8w	Amazon.ca	ItemPrice	Principal	39.99	MFN	12.02.2018	12.02.2018 09:20:33 UTC	32759304917122			02-23CA-011-010617FBM001C	1	
6566003831						Order	702-0055965-5909846			D4bJSLR8w	Amazon.ca	ItemFees	Commission	-6.00	MFN	12.02.2018	12.02.2018 09:20:33 UTC	32759304917122			02-23CA-011-010617FBM001C	1	
6566003831						Order	701-8904434-5639440	701-8904434-5639440		D33qrmswk	Amazon.ca	ItemPrice	Principal	20.99	AFN	09.02.2018	09.02.2018 19:48:04 UTC	19780832335658			02-24CA-011-010628FBA01	1	
6566003831						Order	701-8904434-5639440	701-8904434-5639440		D33qrmswk	Amazon.ca	ItemPrice	Shipping	3.00	AFN	09.02.2018	09.02.2018 19:48:04 UTC	19780832335658			02-24CA-011-010628FBA01	1	
6566003831						Order	701-8904434-5639440	701-8904434-5639440		D33qrmswk	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.81	AFN	09.02.2018	09.02.2018 19:48:04 UTC	19780832335658			02-24CA-011-010628FBA01	1	
6566003831						Order	701-8904434-5639440	701-8904434-5639440		D33qrmswk	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.52	AFN	09.02.2018	09.02.2018 19:48:04 UTC	19780832335658			02-24CA-011-010628FBA01	1	
6566003831						Order	701-8904434-5639440	701-8904434-5639440		D33qrmswk	Amazon.ca	ItemFees	Commission	-3.15	AFN	09.02.2018	09.02.2018 19:48:04 UTC	19780832335658			02-24CA-011-010628FBA01	1	
6566003831						Order	701-8904434-5639440	701-8904434-5639440		D33qrmswk	Amazon.ca	ItemFees	ShippingChargeback	-3.39	AFN	09.02.2018	09.02.2018 19:48:04 UTC	19780832335658			02-24CA-011-010628FBA01	1	
6566003831						Order	701-9142378-6464264			D9hkcSz74	Amazon.ca	ItemPrice	Principal	39.99	MFN	09.02.2018	09.02.2018 02:20:00 UTC	28338157384082			02-23CA-011-010617FBM001C	1	
6566003831						Order	701-9142378-6464264			D9hkcSz74	Amazon.ca	ItemFees	Commission	-6.00	MFN	09.02.2018	09.02.2018 02:20:00 UTC	28338157384082			02-23CA-011-010617FBM001C	1	
6566003831						Order	701-6616900-4524256	701-6616900-4524256		D1y3kBsFk	Amazon.ca	ItemPrice	Principal	13.99	AFN	08.02.2018	08.02.2018 22:46:21 UTC	11579282548346			02-25CA-011-011200FBA05	1	
6566003831						Order	701-6616900-4524256	701-6616900-4524256		D1y3kBsFk	Amazon.ca	ItemPrice	Shipping	2.74	AFN	08.02.2018	08.02.2018 22:46:21 UTC	11579282548346			02-25CA-011-011200FBA05	1	
6566003831						Order	701-6616900-4524256	701-6616900-4524256		D1y3kBsFk	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.81	AFN	08.02.2018	08.02.2018 22:46:21 UTC	11579282548346			02-25CA-011-011200FBA05	1	
6566003831						Order	701-6616900-4524256	701-6616900-4524256		D1y3kBsFk	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.52	AFN	08.02.2018	08.02.2018 22:46:21 UTC	11579282548346			02-25CA-011-011200FBA05	1	
6566003831						Order	701-6616900-4524256	701-6616900-4524256		D1y3kBsFk	Amazon.ca	ItemFees	Commission	-2.10	AFN	08.02.2018	08.02.2018 22:46:21 UTC	11579282548346			02-25CA-011-011200FBA05	1	
6566003831						Order	701-6616900-4524256	701-6616900-4524256		D1y3kBsFk	Amazon.ca	Promotion	Shipping	-2.74	AFN	08.02.2018	08.02.2018 22:46:21 UTC	11579282548346			02-25CA-011-011200FBA05	1	CA Core Free Shipping 2016/03/16 6-42-44-87
6566003831						Order	701-3730730-0380240			Db7Tnncc9	Amazon.ca	ItemPrice	Principal	39.99	MFN	31.01.2018	31.01.2018 02:36:18 UTC	34682549901250			02-23CA-011-010617FBM001C	1	
6566003831						Order	701-3730730-0380240			Db7Tnncc9	Amazon.ca	ItemFees	Commission	-6.00	MFN	31.01.2018	31.01.2018 02:36:18 UTC	34682549901250			02-23CA-011-010617FBM001C	1	
6566003831						Order	702-3638972-0465833	702-3638972-0465833		DGZX7GdLk	Amazon.ca	ItemPrice	Principal	29.99	AFN	01.02.2018	01.02.2018 02:01:29 UTC	55962848640874			66FM-0033FBA03CA-605888C	1	
6566003831						Order	702-3638972-0465833	702-3638972-0465833		DGZX7GdLk	Amazon.ca	ItemPrice	Shipping	5.49	AFN	01.02.2018	01.02.2018 02:01:29 UTC	55962848640874			66FM-0033FBA03CA-605888C	1	
6566003831						Order	702-3638972-0465833	702-3638972-0465833		DGZX7GdLk	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.81	AFN	01.02.2018	01.02.2018 02:01:29 UTC	55962848640874			66FM-0033FBA03CA-605888C	1	
6566003831						Order	702-3638972-0465833	702-3638972-0465833		DGZX7GdLk	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.97	AFN	01.02.2018	01.02.2018 02:01:29 UTC	55962848640874			66FM-0033FBA03CA-605888C	1	
6566003831						Order	702-3638972-0465833	702-3638972-0465833		DGZX7GdLk	Amazon.ca	ItemFees	Commission	-4.50	AFN	01.02.2018	01.02.2018 02:01:29 UTC	55962848640874			66FM-0033FBA03CA-605888C	1	
6566003831						Order	702-3638972-0465833	702-3638972-0465833		DGZX7GdLk	Amazon.ca	ItemFees	ShippingChargeback	-6.20	AFN	01.02.2018	01.02.2018 02:01:29 UTC	55962848640874			66FM-0033FBA03CA-605888C	1	
6566003831						Order	701-2284342-6221047			DD1Jd7cz9	Amazon.ca	ItemPrice	Principal	39.99	MFN	06.02.2018	06.02.2018 10:31:56 UTC	35010585895938			02-23CA-011-010617FBM001C	1	
6566003831						Order	701-2284342-6221047			DD1Jd7cz9	Amazon.ca	ItemFees	Commission	-6.00	MFN	06.02.2018	06.02.2018 10:31:56 UTC	35010585895938			02-23CA-011-010617FBM001C	1	
6566003831						Order	701-4577258-4988252	701-4577258-4988252		DXKq2lslk	Amazon.ca	ItemPrice	Principal	29.99	AFN	07.02.2018	07.02.2018 18:42:08 UTC	14001138933082			66FM-0033FBA03CA-605888C	1	
6566003831						Order	701-4577258-4988252	701-4577258-4988252		DXKq2lslk	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.81	AFN	07.02.2018	07.02.2018 18:42:08 UTC	14001138933082			66FM-0033FBA03CA-605888C	1	
6566003831						Order	701-4577258-4988252	701-4577258-4988252		DXKq2lslk	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.97	AFN	07.02.2018	07.02.2018 18:42:08 UTC	14001138933082			66FM-0033FBA03CA-605888C	1	
6566003831						Order	701-4577258-4988252	701-4577258-4988252		DXKq2lslk	Amazon.ca	ItemFees	Commission	-4.50	AFN	07.02.2018	07.02.2018 18:42:08 UTC	14001138933082			66FM-0033FBA03CA-605888C	1	
6566003831						other-transaction						other-transaction	Storage Fee	-2.04		08.02.2018	08.02.2018 03:53:16 UTC						
