settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
6516605641	04.12.2017 10:32:25 UTC	18.12.2017 10:32:26 UTC	20.12.2017 10:32:26 UTC	234.91	CAD																		
6516605641						Order	701-9368240-6171415	701-9368240-6171415		D36XG4qwk	Amazon.ca	ItemPrice	Principal	24.99	AFN	04.12.2017	04.12.2017 22:06:02 UTC	26711880904602			02-24CA-011-010628FBA01	1	
6516605641						Order	701-9368240-6171415	701-9368240-6171415		D36XG4qwk	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.68	AFN	04.12.2017	04.12.2017 22:06:02 UTC	26711880904602			02-24CA-011-010628FBA01	1	
6516605641						Order	701-9368240-6171415	701-9368240-6171415		D36XG4qwk	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.20	AFN	04.12.2017	04.12.2017 22:06:02 UTC	26711880904602			02-24CA-011-010628FBA01	1	
6516605641						Order	701-9368240-6171415	701-9368240-6171415		D36XG4qwk	Amazon.ca	ItemFees	Commission	-3.75	AFN	04.12.2017	04.12.2017 22:06:02 UTC	26711880904602			02-24CA-011-010628FBA01	1	
6516605641						Order	701-2993148-5537005			Dsbnl8pcw	Amazon.ca	ItemPrice	Principal	39.99	MFN	16.12.2017	16.12.2017 09:31:23 UTC	11034104974266			02-23CA-011-010617FBM001C	1	
6516605641						Order	701-2993148-5537005			Dsbnl8pcw	Amazon.ca	ItemFees	Commission	-6.00	MFN	16.12.2017	16.12.2017 09:31:23 UTC	11034104974266			02-23CA-011-010617FBM001C	1	
6516605641						Order	702-7700196-0505054	702-7700196-0505054		DXsSzqpyk	Amazon.ca	ItemPrice	Principal	24.99	AFN	14.12.2017	14.12.2017 11:09:53 UTC	36509676257682			02-24CA-011-010628FBA01	1	
6516605641						Order	702-7700196-0505054	702-7700196-0505054		DXsSzqpyk	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.68	AFN	14.12.2017	14.12.2017 11:09:53 UTC	36509676257682			02-24CA-011-010628FBA01	1	
6516605641						Order	702-7700196-0505054	702-7700196-0505054		DXsSzqpyk	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.20	AFN	14.12.2017	14.12.2017 11:09:53 UTC	36509676257682			02-24CA-011-010628FBA01	1	
6516605641						Order	702-7700196-0505054	702-7700196-0505054		DXsSzqpyk	Amazon.ca	ItemFees	Commission	-3.75	AFN	14.12.2017	14.12.2017 11:09:53 UTC	36509676257682			02-24CA-011-010628FBA01	1	
6516605641						Order	701-2342972-9492245			DbfqpQH99	Amazon.ca	ItemPrice	Principal	39.99	MFN	14.12.2017	14.12.2017 06:02:22 UTC	67583935359666			02-23CA-011-010617FBM001C	1	
6516605641						Order	701-2342972-9492245			DbfqpQH99	Amazon.ca	ItemFees	Commission	-6.00	MFN	14.12.2017	14.12.2017 06:02:22 UTC	67583935359666			02-23CA-011-010617FBM001C	1	
6516605641						Order	702-6923271-0149867			DlLv0Yvq4	Amazon.ca	ItemPrice	Principal	39.99	MFN	14.12.2017	14.12.2017 06:01:06 UTC	64837604744242			02-23CA-011-010617FBM001C	1	
6516605641						Order	702-6923271-0149867			DlLv0Yvq4	Amazon.ca	ItemFees	Commission	-6.00	MFN	14.12.2017	14.12.2017 06:01:06 UTC	64837604744242			02-23CA-011-010617FBM001C	1	
6516605641						Order	701-6339215-0505811	701-6339215-0505811		D685w1n8k	Amazon.ca	ItemPrice	Principal	24.99	AFN	08.12.2017	08.12.2017 15:24:31 UTC	20945096286874			02-24CA-011-010628FBA01	1	
6516605641						Order	701-6339215-0505811	701-6339215-0505811		D685w1n8k	Amazon.ca	ItemPrice	Shipping	2.15	AFN	08.12.2017	08.12.2017 15:24:31 UTC	20945096286874			02-24CA-011-010628FBA01	1	
6516605641						Order	701-6339215-0505811	701-6339215-0505811		D685w1n8k	Amazon.ca	ItemFees	FBAPerUnitFulfillmentFee	-1.68	AFN	08.12.2017	08.12.2017 15:24:31 UTC	20945096286874			02-24CA-011-010628FBA01	1	
6516605641						Order	701-6339215-0505811	701-6339215-0505811		D685w1n8k	Amazon.ca	ItemFees	FBAWeightBasedFee	-4.20	AFN	08.12.2017	08.12.2017 15:24:31 UTC	20945096286874			02-24CA-011-010628FBA01	1	
6516605641						Order	701-6339215-0505811	701-6339215-0505811		D685w1n8k	Amazon.ca	ItemFees	Commission	-3.75	AFN	08.12.2017	08.12.2017 15:24:31 UTC	20945096286874			02-24CA-011-010628FBA01	1	
6516605641						Order	701-6339215-0505811	701-6339215-0505811		D685w1n8k	Amazon.ca	Promotion	Shipping	-2.15	AFN	08.12.2017	08.12.2017 15:24:31 UTC	20945096286874			02-24CA-011-010628FBA01	1	Amazon PLCC Free-Financing Universal Merchant
6516605641						Order	701-8925220-6471440			DtsT1lpjw	Amazon.ca	ItemPrice	Principal	25.99	MFN	08.12.2017	08.12.2017 02:48:00 UTC	07271735006114			02-25FM-065CA-110203FBM04	1	
6516605641						Order	701-8925220-6471440			DtsT1lpjw	Amazon.ca	ItemFees	Commission	-3.90	MFN	08.12.2017	08.12.2017 02:48:00 UTC	07271735006114			02-25FM-065CA-110203FBM04	1	
6516605641						Order	702-9275057-3570635			Dt4475pmw	Amazon.ca	ItemPrice	Principal	25.99	MFN	05.12.2017	05.12.2017 09:44:24 UTC	61629372972658			02-25FM-065CA-110203FBM04	1	
6516605641						Order	702-9275057-3570635			Dt4475pmw	Amazon.ca	ItemPrice	Shipping	19.98	MFN	05.12.2017	05.12.2017 09:44:24 UTC	61629372972658			02-25FM-065CA-110203FBM04	1	
