asin	fnsku	product-name	fulfillment-center	country-code	longest-side	median-side	shortest-side	measurement-units	weight	weight-units	item-volume	volume-units	average-quantity-on-hand	average-quantity-pending-removal	estimated-total-item-volume	month-of-charge	storage-rate	currency	estimated-monthly-storage-fee
B0794NWY31	X001CHS9W7	Intimate Melody®NINA Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, 2 pack,Best Adult Toy	YYZ4	CA	16.30	9.19	4.00	centimeter	0.00	kilograms	0.0006	cubic meter	3.29	0.0	0.0020	2018-01	16.00	CAD	0.0315
B0794NWY31	X001CHS9W7	Intimate Melody®NINA Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, 2 pack,Best Adult Toy	YVR2	CA	16.30	9.19	4.00	centimeter	0.00	kilograms	0.0006	cubic meter	4.52	0.0	0.0027	2018-01	16.00	CAD	0.0436
B01N6Z2GAK	X001CHS9W7	Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Best Adult Toy…	YYZ4	CA	17.00	10.01	4.50	centimeter	0.26	kilograms	0.0008	cubic meter	4.39	0.0	0.0034	2018-01	16.00	CAD	0.0536
B01N6Z2GAK	X001CHS9W7	Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Best Adult Toy…	YVR2	CA	17.00	10.01	4.50	centimeter	0.26	kilograms	0.0008	cubic meter	5.48	0.0	0.0042	2018-01	16.00	CAD	0.0674
B01CCIQP6A	X001CGGY89	Intimate Melody® LAVA 3 in 1 G Spot Vibrator with Vibe Bullet,Rechargeable Sex Massager Powerful Stimulation Dildo, 7 Vibration Adult Toy	YYZ4	CA	18.20	18.21	5.60	centimeter	0.60	kilograms	0.0019	cubic meter	13.0	0.0	0.0241	2018-01	16.00	CAD	0.385
B06XD7YNWJ	X001CI0M71	Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women	YYZ4	CA	23.00	8.41	5.00	centimeter	0.24	kilograms	0.0010	cubic meter	8.29	0.0	0.0080	2018-01	16.00	CAD	0.1278
B01GFU0OF4	X001CGH36B	Intimate Melody® LANA 3 In 1 Silicone Bullets Waterproof 7 Modes Vibrating Egg with 3 Different Shapes G-spot Clit Stimulator Massager Love Eggs Sex Toy for Female	YVR2	CA	19.00	18.59	5.60	centimeter	0.46	kilograms	0.0020	cubic meter	11.0	0.0	0.0218	2018-01	16.00	CAD	0.3503
B01GFU0OF4	X001CGH36B	Intimate Melody® LANA 3 In 1 Silicone Bullets Waterproof 7 Modes Vibrating Egg with 3 Different Shapes G-spot Clit Stimulator Massager Love Eggs Sex Toy for Female	YYZ4	CA	19.00	18.59	5.60	centimeter	0.46	kilograms	0.0020	cubic meter	13.97	0.0	0.0277	2018-01	16.00	CAD	0.4421
B06XD7YNWJ	X001CI0M71	Intimate Melody Kegel Exercise Weights - Ben Wa Ball Weights, Bladder Control & Pelvic Floor Exercises with Medical Silicone for Women	YVR2	CA	23.00	8.41	5.00	centimeter	0.24	kilograms	0.0010	cubic meter	23.0	0.0	0.0222	2018-01	16.00	CAD	0.3587
