amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
701-6936024-2797858		2017-12-31T01:32:44+00:00	2017-12-31T09:38:55+00:00	Pending	Merchant	Amazon.ca			Standard	Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator	02-23CA-011-010617FBM001C	B06XDFX574	Unshipped	1	CAD	39.99		0.0		0.0				Toronto	Ontario	M6G 3T3	CA	
701-6713978-6125808	701-6713978-6125808	2017-12-28T04:37:03+00:00	2017-12-29T01:46:50+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes	02-24CA-011-010628FBA01	B01N6Z2GAK	Shipped	1	CAD	24.99								Richmond	BC	V7E 2G3	CA	
701-6083789-5793018		2017-12-27T16:18:29+00:00	2018-01-02T02:18:02+00:00	Shipped	Merchant	Amazon.ca			Standard	Intimate Melody® Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator	02-23CA-011-010617FBM08	B06XW7ZDJJ	Shipped	1	CAD	39.99		0.0		0.0				Elliot Lake	Ontario	P5A 2W1	CA	
701-4872434-8791452		2017-12-27T06:10:29+00:00	2017-12-31T01:54:10+00:00	Cancelled	Merchant	Amazon.ca			Standard	Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator	02-23CA-011-010617FBM001C	B06XDFX574		0										Toronto	Ontario	M6G 3T3	CA	
702-1421115-9006607		2017-12-23T17:16:30+00:00	2017-12-28T01:41:37+00:00	Shipped	Merchant	Amazon.ca			Standard	Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator	02-23CA-011-010617FBM001C	B06XDFX574	Shipped	1	CAD	39.99		0.0		0.0				Cobourg	Ontario	K9A 2B6	CA	
701-2179533-1427465		2017-12-23T04:43:41+00:00	2017-12-27T04:25:02+00:00	Shipped	Merchant	Amazon.ca			Standard	Intimate Melody 10 Pcs/Pack Velvet Lining S M Kit Erotic Lady Toys Night Sex Fetish Couples Tools Set	02-25FM-065CA-110611FBM01	B01N2XMP1Z	Shipped	1	CAD	35.99		0.0		0.0				LANGLEY	British Columbia	V1M 0E3	CA	
701-8786464-7857820	701-8786464-7857820	2017-12-19T05:22:05+00:00	2017-12-19T18:21:27+00:00	Shipped	Amazon	Amazon.ca			Expedited	Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes	02-24CA-011-010628FBA01	B01N6Z2GAK	Shipped	1	CAD	24.99		5.98						Toronto	Ontario	M5G 2J9	CA	
701-8857186-3067437	701-8857186-3067437	2017-12-19T03:33:47+00:00	2017-12-19T11:14:54+00:00	Shipped	Amazon	Amazon.ca			SecondDay	Intimate Melody® Silicone Kegel Balls -Kegel Exercise Kit - Kegel Exerciser, Pelvic Floor Weight Set, Control Training and Pelvic Floor Exercises, Bes	02-24CA-011-010628FBA01	B01N6Z2GAK	Shipped	1	CAD	24.99								Ottawa	Ontario	K2G 2J2	CA	
701-5195363-5781811		2017-12-14T16:19:23+00:00	2017-12-19T01:49:20+00:00	Shipped	Merchant	Amazon.ca			Standard	Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator	02-23CA-011-010617FBM001C	B06XDFX574	Shipped	1	CAD	39.99		0.0		0.0				Lasalle	Quebec	H8R 3W9	CA	
701-2993148-5537005		2017-12-14T14:44:14+00:00	2017-12-16T09:31:17+00:00	Shipped	Merchant	Amazon.ca			Standard	Intimate Melody Mage Flexible Vibrators with 6 Modes, Bendable USB Massage Stimulator	02-23CA-011-010617FBM001C	B06XDFX574	Shipped	1	CAD	39.99		0.0		0.0				Martintown	Ontario	K0C1S0	CA	
